Borough,Neighborhood,Latitude,Longitude,NearHos,AvgDist,Population,HospDensity,Pop/Dist
Bronx,Wakefield,40.894705176609996,-73.84720052054901,1,21.1542802103718,43583,0.22944726154693343,2060.244998486479
Bronx,Co-op City,40.87429419303012,-73.829939108124,7,19.976509962665343,40676,1.7209165109646967,2036.1915107303785
Bronx,Eastchester,40.887555677350775,-73.82780644716412,1,21.150140141153365,35422,0.28231042854723054,1674.7879571292692
Bronx,Fieldston,40.89543742690383,-73.90564259591682,3,20.14806408931569,28013,1.0709313533002534,1390.356903562512
Bronx,Riverdale,40.890834493891305,-73.9125854610857,8,19.666613815151464,28013,2.8558169421340094,1424.3936583743944
Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,23,18.879360879083592,29872,7.699517943224424,1582.256951986925
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,17,18.350106293729443,49087,3.463238739381099,2675.0253766526625
Bronx,Woodlawn,40.898272612138044,-73.86731496814177,2,20.974478778070623,43583,0.45889452309386686,2077.906224090164
Bronx,Norwood,40.87722415599446,-73.8793907395681,15,18.812070136643673,40817,3.6749393635005023,2169.7239965363165
Bronx,Williamsbridge,40.88103887819211,-73.85744642974205,13,19.663744800578087,57420,2.264019505398816,2920.094853870964
Bronx,Baychester,40.866858107252696,-73.83579759808117,13,19.17331592705637,35422,3.670035571113997,1847.4634296310921
Bronx,Pelham Parkway,40.857413498088654,-73.85475564017999,22,17.818114170912327,30006,7.331866959941345,1684.0165975018906
Bronx,City Island,40.847246704918135,-73.78648845267412,0,19.938417533084113,27140,NaN,1361.1912758355168
Bronx,Bedford Park,40.870185164975325,-73.8855121841913,24,18.09749867097986,55329,4.337689096134034,3057.2733285358654
Bronx,University Heights,40.85572707719664,-73.91041596191309,24,16.573628568980478,54335,4.417042422011595,3278.40097138984
Bronx,Morris Heights,40.847897926062714,-73.91967159119567,14,15.887131913664188,54335,2.5766080795067636,3420.06350140944
Bronx,Fordham,40.86099679638654,-73.89642655981623,20,17.159444188594787,55329,3.614740913445029,3224.405137596183
Bronx,East Tremont,40.84269615786053,-73.88735617532338,8,15.921674710337332,39280,2.0366598778004072,2467.077158315325
